Title,Licensee,Released
NHL '94,EA Sports,1993-10-01
NHL '95,EA Sports,1994-11-01
NHL '96,EA Sports,1995-09-01
NHL '97,Black Pearl Software,1996-10-01
NHL '98,THQ,1997-12-01
NHL Stanley Cup,Nintendo,1993-11-01
NHLPA Hockey '93,EA Sports,1992-12-01
Nickelodeon GUTS,Viacom New Media,1994-11-01
Nigel Mansell's World Championship Racing,Gametek,1993-07-01
Ninja Gaiden Trilogy,Tecmo,1995-08-01
"Ninja Warriors, The",Taito Software,1994-02-01
No Escape,Sony Imagesoft,1994-11-01
Nobunaga's Ambition,Koei,1993-12-01
Nobunaga's Ambition: Lord of Darkness,Koei,1994-10-01
Nolan Ryan's Baseball,Romstar,1992-02-01
Nosferatu,Seta,1995-10-01
Obitus,Bullet Proof Software,1994-09-01
Ogre Battle,Enix,1995-05-01
Olympic Summer Games,Black Pearl Software,1996-06-01
On the Ball,Taito Software,1992-11-01
Operation Europe: Path to Victory,Koei,1994-06-01
Operation Logic Bomb,Jaleco,1993-09-01
Operation Thunderbolt,Taito Software,1994-10-01
Oscar,Titus,1996-10-01
Out of This World,Interplay,1992-11-01
Out to Lunch,Mindscape,1993-11-01
Outlander,Mindscape,1993-04-01
P.T.O.: II,Koei,1995-12-01
P.T.O.: Pacific Theater of Operations,Koei,1993-09-01
Pac-Attack,Namco,1993-10-01
Pac-in-Time,Namco,1995-01-01
Packy and Marlon,Raya Systems,1995-06-01
Pac-Man 2: The New Adventures,Majesco,1994-09-01
"Pagemaster, The",Fox Interactive,1994-11-01
Paladin's Quest,Enix,1993-10-01
Paperboy 2,Majesco,1991-11-01
"Peace Keepers, The",Jaleco,1994-03-01
PGA European Tour,Black Pearl Software,1996-09-01
PGA Tour '96,Black Pearl Software,1996-01-01
PGA Tour Golf,EA Sports,1992-03-01
Phalanx: The Enforce Fighter A-144,Kemco,1992-10-01
Phantom 2040,Viacom New Media,1995-06-01
Pieces,Atlus Software,1994-12-01
Pilotwings,Nintendo,1991-08-01
Pinball Dreams,Gametek,1994-04-01
Pinball Fantasies,Gametek,1995-02-01
Pink Panther in Pink Goes to Hollywood,TecMagik,1993-11-01
Pinocchio,Nintendo,1996-11-01
"Pirates of Dark Water, The",Sunsoft,1994-05-01
Pitfall: The Mayan Adventure,Majesco,1994-11-01
Pit-Fighter,THQ,1992-03-01
Plok,Tradewest,1993-09-01
Pocky & Rocky,Natsume,1993-06-01
Pocky & Rocky 2,Natsume,1994-11-01
Populous,Acclaim,1991-09-01
Porky Pig's Haunted Holiday,Acclaim,1995-10-01
Power Instinct,Atlus Software,1994-12-01
Power Moves,Kaneko,1993-01-01
Power Piggs of the Dark Ages,Titus,1996-05-01
Power Rangers Zeo: Battle Racers,Bandai,1996-09-01
Prehistorik Man,Titus,1996-01-01
Primal Rage,Time Warner,1995-08-01
Prince of Persia,Konami,1992-11-01
Prince of Persia 2: The Shadow and the Flame,Titus,1996-10-01
Pro Quarterback,Tradewest,1992-12-01
Pro Sport Hockey,Jaleco,1994-02-01
Push-Over,Ocean,1992-12-01
Q*Bert 3,NTVIC,1992-10-01
Race Drivin',THQ,1992-10-01
Radical Rex,Activision,1994-10-01
Raiden Trad,Electro Brain,1992-04-01
Rampart,Electronic Arts,1992-08-01
Ranma 1⁄2: Hard Battle,DTMC,1993-11-01
Rap Jam: Volume One,Mandingo,1995-01-01
Realm,Titus,1996-12-01
Red Line: F-1 Racer,Absolute,1993-09-01
Relief Pitcher,Left Field Ent.,1994-05-01
Ren & Stimpy Show Part II: Fire Dogs,THQ,1994-06-01
"Ren & Stimpy Show: Buckaroo$, The",THQ,1995-04-01
"Ren & Stimpy Show: Time Warp, The",THQ,1994-11-01
"Ren & Stimpy Show: Veediots!, The",THQ,1993-10-01
Revolution X,Acclaim,1995-12-01
Rex Ronan: Experimental Surgeon,Raya Systems,1994-05-01
Riddick Bowe Boxing,Extreme,1994-01-01
Rise of the Phoenix,Koei,1995-02-01
Rise of the Robots,Acclaim,1994-12-01
