Title,Licensee,Released
Ring Rage,Taito Software,1998-04-01
Road Rash,Ocean,1996-10-01
Roadsters Trophy,Titus,2000-01-01
Robin Hood: Prince of Thieves,Virgin Interactive,1993-06-01
RoboCop,Ocean,1990-12-01
RoboCop 2,Ocean,1991-11-01
RoboCop vs. Terminator,Virgin Interactive,1994-08-01
Robopon Star,Atlus Software,2000-12-01
Rocky and Bullwinkle,THQ,1992-10-01
Roger Clemens' MVP Baseball,LJN,1992-09-01
Rolan's Curse,American Sammy,1991-01-01
Rolan's Curse II,American Sammy,1992-10-01
R-Type,Irem,1991-05-01
R-Type DX,Nintendo,1999-06-01
Rugrats Time Traveler,THQ,1999-11-01
Rugrats: The Movie,THQ,1998-12-01
Samurai Shodown,Takara,1994-11-01
SeaQuest: DSV,Malibu Games,1994-11-01
Serpent,Taxan,1990-11-01
Shadowgate Classic,Nintendo,1999-01-01
Shamus,Vatical Entertainment,2000-03-01
Shanghai,Hal America,1990-06-01
Shanghai Pocket,Sunsoft,1998-12-01
Shaq Fu,Black Pearl Software,1995-10-01
Side Pocket,Data East,1990-11-01
"Simpsons: Bart & the Beanstalk, The",Acclaim,1994-02-01
"Simpsons: Bart vs. the Juggernauts, The",Acclaim,1992-09-01
Skate Or Die: Bad 'N Rad,Konami,1990-09-01
Skate Or Die: Tour de Thrash,EA Sports,1991-06-01
Small Soldiers,THQ,1998-11-01
Smufrs Nightmare,Infogrames,1999-06-01
Sneaky Snakes,Tradewest,1991-06-01
Snoopy's Magic Show,Seika,1990-10-01
Snow Bros. Jr.,Capcom,1992-01-01
Soccer Mania,Sony Imagesoft,1992-03-01
Solar Striker,Nintendo,1990-02-01
Solitaire FunPak,Interplay,1994-11-01
Solomon's Club,Tecmo,1991-04-01
Space Invaders,Activision,1999-10-01
Space Invaders: The Arcade Game,Nintendo,1994-10-01
Spanky's Quest,Natsume,1992-07-01
Speedball II,Mindscape,1992-10-01
Speedy Gonzales,Sunsoft,1993-07-01
Speedy Gonzales: Aztec Adventure,Sunsoft,2000-01-01
Spider-Man & X-Men: Arcade's Revenge,LJN,1993-12-01
Spider-Man 2,LJN,1992-08-01
Spider-Man 3: Invasion of the Spider Slayers,LJN,1993-07-01
Sports Illustrated for Kids: The Ultimate Triple Dare,Malibu Games,1994-04-01
Sports Illustrated Golf Classic,Malibu Games,1994-10-01
Sports Illustrated: Championship Football & Baseball,Malibu Games,1993-10-01
Spot,Virgin Interactive,1991-09-01
Spot's Cool Adventure,Virgin Interactive,1993-01-01
Spud's Adventure,Atlus Software,1991-06-01
Spy vs. Spy: Operation Booby Trap,Kemco,1992-09-01
Square Deal,DTMC,1992-04-01
Star Hawk,Accolade,1993-06-01
Star Trek,Ultra Soft,1992-02-01
Star Trek Generations: Beyond the Nexus,Absolute,1994-11-01
Star Trek: The Next Generation,Absolute,1993-06-01
Star Wars,Nintendo,1992-11-01
Stargate,Acclaim,1994-12-01
Stop That Roach,Koei,1994-07-01
Street Fighter II,Nintendo,1995-09-01
Street Racer,UBI Soft,1996-12-01
Sumo Fighter,DTMC,1993-03-01
Super Battletank,Absolute,1994-04-01
Super Black Bass,Hot-B,1998-11-01
Super Breakout,Majesco,1998-12-01
Super Chase HQ,Taito Software,1994-01-01
Super Hunchback,Ocean,1992-04-01
Super Mario Land,Nintendo,1989-08-01
Super Mario Land 2: 6 Golden Coins,Nintendo,1992-11-01
Super Off Road,Tradewest,1992-11-01
Super R.C. Pro-Am Racing,Nintendo,1991-10-01
Super Return of the Jedi,Black Pearl Software,1995-11-01
Super Scrabble,Milton Bradley,1991-03-01
Superman,Titus,1997-12-01
Survival Kids,Konami,1999-10-01
Swamp Thing,THQ,1992-10-01
"Sword of Hope 2, The",Kemco,1996-09-01
"Sword of Hope, The",Seika,1991-06-01
T2: The Arcade Game,LJN,1992-11-01
Tail 'Gator,Natsume,1991-06-01
Tale Spin,Capcom,1992-12-01
Tamagotchi,Bandai,1997-10-01
Tarzan: Lord of the Jungle,Gametek,1994-10-01
Tasmania Story,FCI,1991-04-01
Tasmanian Devil: Munching Madness,Sunsoft,1999-11-01
Taz-Mania,Sunsoft,1994-09-01
Taz-Mania 2,Black Pearl Software,1997-01-01
Tecmo Bowl,Tecmo,1991-09-01
Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,1991-12-01
Teenage Mutant Ninja Turtles III: Radical Rescue,Konami,1993-11-01
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Ultra Soft,1990-08-01
Tennis,Nintendo,1989-08-01
Terminator 2: Judgment Day,LJN,1992-01-01
Tesserae,Gametek,1993-08-01
Test Drive Off Road 3,Infogrames,1999-11-01
Tetris,Nintendo,1989-06-01
Tetris 2,Nintendo,1993-12-01
Tetris Attack,Nintendo,1996-08-01
Tetris Blast,Nintendo,1996-01-01
Tetris DX,Nintendo,1998-11-01
Tetris Plus,Nintendo,1997-08-01
The Fidgetts,Jaleco,1997-10-01
The Lost World: Jurassic Park,THQ,1997-12-01
The New Adventures of Mary Kate and Ashley,Acclaim,1999-12-01
The Smurfs,Nintendo,1998-10-01
Tiger Woods Golf,THQ,2000-01-01
Tiny Toon Adventures 2: Montana's Movie Madness,Konami,1993-11-01
Tiny Toon Adventures: Babs' Big Break,Konami,1992-02-01
Tiny Toon Adventures: Wacky Sports Challenge,Konami,1994-12-01
Titus the Fox,Titus,2000-11-01
Titus the Fox,Titus,1993-06-01
TNN Outdoors Fishing Champ,American Softworks,1999-12-01
Tom & Jerry,Hi-Tech,1992-10-01
Tom & Jerry: Frantic Antics,Hi-Tech,1993-10-01
Top Gun: Guts & Glory,Konami,1993-01-01
Top Rank Tennis,Nintendo,1993-05-01
Torpedo Range,Seta,1996-11-01
Total Carnage,Malibu Games,1994-02-01
Toxic Crusaders,Bandai,1992-09-01
Toy Story,THQ,1996-05-01
Toy Story 2,THQ,1999-11-01
Track & Field,Konami,1992-09-01
Trax,Hal America,1991-09-01
True Lies,LJN,1995-02-01
Tumble Pop,Data East,1993-03-01
Turn and Burn: The F-14 Dogfight Simulator,Absolute,1992-05-01
Turok 2: Seeds of Evil,Acclaim,1998-12-01
Turok: Battle of the Bionosaurs,Acclaim,1997-12-01
Turrican,Accolade,1991-11-01
Ultima: Runes of Virtue,FCI,1992-07-01
Ultima: Runes of Virtue II,FCI,1994-03-01
Ultra Golf,Ultra Soft,1992-03-01
Universal Soldier,Accolade,1992-12-01
Uno,Mattel,2000-02-01
Urban Strike,Black Pearl Software,1996-11-01
USHRA Monster Truck Wars,Acclaim,1994-11-01
Vegas Stakes,Nintendo,1995-12-01
Wario Blast: Featuring Bomberman!,Nintendo,1994-11-01
Wario Land 2,Nintendo,1998-03-01
Wario Land: Super Mario Land 3,Nintendo,1994-02-01
Wave Race,Nintendo,1992-07-01
Wayne's World,THQ,1993-11-01
WCW: The Main Event,FCI,1994-02-01
